deal_id,date_id,client_id,product_id,revenue_byn,quantity,stage_name,is_first_deal
101,20240116,1,67,0.0,3,Лид,True
6822,20240119,1,97,0.0,2,Контакт установлен,False
3491,20240319,1,27,219.52,4,Сделка закрыта,False
9822,20240325,1,59,0.0,3,Лид,False
3403,20240409,1,31,0.0,1,Лид,False
335,20240428,1,81,168.12,1,Сделка закрыта,False
207,20240712,1,35,0.0,1,Предложение отправлено,False
5640,20240717,1,88,0.0,2,Лид,False
6047,20240805,1,76,0.0,3,Лид,False
7425,20241021,1,2,0.0,2,Переговоры,False
8051,20250224,1,14,0.0,3,Лид,False
7288,20250619,1,93,0.0,1,Лид,False
1584,20250630,1,32,0.0,1,Лид,False
7887,20250829,1,34,0.0,1,Контакт установлен,False
7806,20240106,2,27,0.0,4,Предложение отправлено,True
2735,20240518,2,31,0.0,1,Контакт установлен,False
2822,20240718,2,62,0.0,1,Лид,False
6412,20240720,2,9,180.4,2,Сделка закрыта,False
6776,20240812,2,45,0.0,1,Лид,False
248,20241014,2,81,0.0,1,Лид,False
944,20241124,2,91,0.0,1,Лид,False
6132,20241204,2,61,0.0,1,Лид,False
7733,20241212,2,14,0.0,4,Переговоры,False
835,20250214,2,12,0.0,1,Контакт установлен,False
2394,20250629,2,94,385.8,4,Сделка закрыта,False
7211,20250630,2,26,0.0,3,Лид,False
956,20250702,2,81,0.0,1,Лид,False
6765,20250810,2,36,0.0,1,Контакт установлен,False
4093,20250905,2,48,0.0,4,Контакт установлен,False
4012,20251018,2,70,598.35,3,Сделка закрыта,False
2477,20240208,3,14,0.0,2,Лид,True
3592,20240228,3,48,0.0,1,Переговоры,False
4680,20240303,3,53,0.0,1,Контакт установлен,False
5367,20240305,3,9,0.0,3,Лид,False
8164,20240412,3,16,0.0,3,Переговоры,False
4338,20240613,3,71,0.0,2,Контакт установлен,False
6619,20240613,3,15,0.0,3,Предложение отправлено,False
9476,20240728,3,18,0.0,1,Лид,False
2139,20240917,3,28,0.0,1,Переговоры,False
3439,20241004,3,49,0.0,2,Переговоры,False
7849,20241026,3,46,0.0,2,Лид,False
7568,20241119,3,19,0.0,1,Лид,False
8469,20250210,3,4,0.0,3,Контакт установлен,False
8673,20250316,3,23,0.0,1,Предложение отправлено,False
1958,20250622,3,53,100.2,2,Сделка закрыта,False
7536,20250721,3,98,0.0,2,Лид,False
7097,20250804,3,77,0.0,1,Лид,False
6507,20250902,3,64,0.0,2,Предложение отправлено,False
2046,20251216,3,92,0.0,2,Лид,False
833,20251226,3,51,0.0,3,Предложение отправлено,False
1939,20240429,4,24,448.06,2,Сделка закрыта,True
364,20240710,4,94,0.0,2,Переговоры,False
3002,20240724,4,55,0.0,1,Лид,False
1953,20240803,4,24,0.0,2,Предложение отправлено,False
8125,20241016,4,65,264.33,1,Сделка закрыта,False
2816,20241118,4,88,0.0,1,Лид,False
5256,20241126,4,69,53.56,2,Сделка закрыта,False
3471,20241226,4,97,0.0,1,Контакт установлен,False
468,20250314,4,19,0.0,3,Предложение отправлено,False
6707,20250427,4,99,0.0,2,Переговоры,False
4421,20250728,4,95,0.0,2,Лид,False
8091,20250906,4,81,0.0,4,Переговоры,False
8097,20250912,4,64,0.0,1,Лид,False
9020,20251106,4,10,306.36,2,Сделка закрыта,False
225,20251127,4,24,0.0,1,Лид,False
7161,20240215,5,100,0.0,2,Контакт установлен,True
7886,20240420,5,6,0.0,2,Переговоры,False
4892,20240724,5,42,0.0,2,Лид,False
8512,20240802,5,37,285.74,1,Сделка закрыта,False
4501,20240927,5,33,571.84,2,Сделка закрыта,False
8444,20241023,5,47,0.0,1,Лид,False
6571,20241227,5,21,0.0,1,Лид,False
5793,20241229,5,66,0.0,3,Лид,False
7721,20250125,5,78,0.0,4,Лид,False
5015,20250128,5,8,0.0,1,Лид,False
6810,20250131,5,61,0.0,3,Лид,False
6032,20250422,5,47,0.0,2,Лид,False
4474,20250519,5,18,343.7,5,Сделка закрыта,False
4512,20250524,5,98,0.0,2,Контакт установлен,False
2010,20250925,5,69,0.0,2,Переговоры,False
